word,neg,neu,pos,compound,sentiment_cat
clear-eyed,0.0,1.0,0.0,0.0,3
clearheaded,0.0,1.0,0.0,0.0,3
clear-sighted,0.0,1.0,0.0,0.0,3
clear-thinking,0.0,1.0,0.0,0.0,3
clever,0.0,0.0,1.0,0.4588,5
clinging,0.0,1.0,0.0,0.0,3
clingy,0.0,1.0,0.0,0.0,3
cliquish,0.0,1.0,0.0,0.0,3
closed-minded,0.0,1.0,0.0,0.0,3
close-fisted,0.0,1.0,0.0,0.0,3
close-mouthed,0.0,1.0,0.0,0.0,3
clownish,0.0,1.0,0.0,0.0,3
cloying,0.0,1.0,0.0,0.0,3
clubby,0.0,1.0,0.0,0.0,3
clumsy,0.0,1.0,0.0,0.0,3
coarse,0.0,1.0,0.0,0.0,3
cocksure,0.0,1.0,0.0,0.0,3
cocky,1.0,0.0,0.0,-0.128,2
coercing,0.0,1.0,0.0,0.0,3
coercive,0.0,1.0,0.0,0.0,3
cognitive,0.0,1.0,0.0,0.0,3
coherent,0.0,1.0,0.0,0.0,3
cold,0.0,1.0,0.0,0.0,3
cold-blooded,0.0,1.0,0.0,0.0,3
cold-hearted,0.0,1.0,0.0,0.0,3
colorful,0.0,1.0,0.0,0.0,3
combative,0.0,1.0,0.0,0.0,3
comfortable,0.0,0.0,1.0,0.5106,5
comical,0.0,1.0,0.0,0.0,3
commandeering,0.0,1.0,0.0,0.0,3
commanding,0.0,1.0,0.0,0.0,3
communicative,0.0,1.0,0.0,0.0,3
companionable,0.0,1.0,0.0,0.0,3
compassionate,0.0,0.0,1.0,0.4939,5
compassionless,1.0,0.0,0.0,-0.5574,1
compatible,0.0,1.0,0.0,0.0,3
competent,0.0,0.0,1.0,0.3182,4
competitive,0.0,0.0,1.0,0.1779,4
competitory,0.0,1.0,0.0,0.0,3
complacent,1.0,0.0,0.0,-0.0772,2
complaining,1.0,0.0,0.0,-0.2023,2
complaisant,0.0,1.0,0.0,0.0,3
complex,0.0,1.0,0.0,0.0,3
compliant,0.0,1.0,0.0,0.0,3
complicated,0.0,1.0,0.0,0.0,3
complimentary,0.0,0.0,1.0,0.4404,5
complying,0.0,1.0,0.0,0.0,3
composed,0.0,1.0,0.0,0.0,3
comprehensive,0.0,0.0,1.0,0.25,4
compulsive,0.0,1.0,0.0,0.0,3
comradely,0.0,1.0,0.0,0.0,3
concealing,0.0,1.0,0.0,0.0,3
conceding,0.0,1.0,0.0,0.0,3
conceited,0.0,1.0,0.0,0.0,3
conceitless,0.0,1.0,0.0,0.0,3
conceptual,0.0,1.0,0.0,0.0,3
concerned,0.0,1.0,0.0,0.0,3
conciliatory,0.0,1.0,0.0,0.0,3
concise,0.0,1.0,0.0,0.0,3
condemning,0.0,1.0,0.0,0.0,3
condescending,0.0,1.0,0.0,0.0,3
confident,0.0,0.0,1.0,0.4939,5
conforming,0.0,1.0,0.0,0.0,3
confusable,0.0,1.0,0.0,0.0,3
confused,1.0,0.0,0.0,-0.3182,2
confusing,1.0,0.0,0.0,-0.2263,2
congenial,0.0,1.0,0.0,0.0,3
conniving,0.0,1.0,0.0,0.0,3
conscienceless,0.0,1.0,0.0,0.0,3
conscientious,0.0,1.0,0.0,0.0,3
