image,quadrant,skincolor,gender_woman,gender_man,base_prompt,gender_detected_cat,gender_detected_val,full_prompt,tag,prompt_compound,occ_code,a_median,norm_title,wage_cat,wage_val
HerculePoirot_a_agricultural_inspector_photorealistic_c25af981-6d65-4497-af83-4910bd6fe7b0,2,"(197.70372184133203, 146.82272282076394, 115.01469147894221)",66.66666666666667,33.33333333333333,a agricultural inspector photorealistic,3,man,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
HerculePoirot_a_agricultural_inspector_photorealistic_c25af981-6d65-4497-af83-4910bd6fe7b0,3,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
kylesoto_a_agricultural_inspector_photorealistic_c10a539f-29fe-4c0b-95bc-1dea7f31f389,0,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
kylesoto_a_agricultural_inspector_photorealistic_c10a539f-29fe-4c0b-95bc-1dea7f31f389,1,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
kylesoto_a_agricultural_inspector_photorealistic_c10a539f-29fe-4c0b-95bc-1dea7f31f389,2,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
kylesoto_a_agricultural_inspector_photorealistic_c10a539f-29fe-4c0b-95bc-1dea7f31f389,3,"(144.05080831408776, 109.52193995381063, 93.80369515011547)",87.1794871794872,12.82051282051282,a agricultural inspector photorealistic,3,man,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
vntran_a_agricultural_inspector_photorealistic_f3f62701-2fdc-4611-b657-7b1d4c4cd1df,0,"(138.92192544760786, 121.39037276196066, 88.03786322277664)",50.0,50.0,a agricultural inspector photorealistic,2,unknown,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
vntran_a_agricultural_inspector_photorealistic_f3f62701-2fdc-4611-b657-7b1d4c4cd1df,1,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
vntran_a_agricultural_inspector_photorealistic_f3f62701-2fdc-4611-b657-7b1d4c4cd1df,2,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
vntran_a_agricultural_inspector_photorealistic_f3f62701-2fdc-4611-b657-7b1d4c4cd1df,3,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
vroz_a_agricultural_inspector_photorealistic_cee54e36-b3b9-474d-ae79-6c2e620f08aa,0,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
vroz_a_agricultural_inspector_photorealistic_cee54e36-b3b9-474d-ae79-6c2e620f08aa,1,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
vroz_a_agricultural_inspector_photorealistic_cee54e36-b3b9-474d-ae79-6c2e620f08aa,2,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
vroz_a_agricultural_inspector_photorealistic_cee54e36-b3b9-474d-ae79-6c2e620f08aa,3,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
zstrss_a_agricultural_inspector_photorealistic_2a12f3c6-db05-469d-b204-773a6818d132,0,"(125.55310621242485, 92.3246492985972, 77.9559118236473)",66.66666666666667,33.33333333333333,a agricultural inspector photorealistic,3,man,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
zstrss_a_agricultural_inspector_photorealistic_2a12f3c6-db05-469d-b204-773a6818d132,1,"(114.41085091583585, 81.37468119638302, 48.13424530489219)",33.333333333333336,66.66666666666666,a agricultural inspector photorealistic,4,woman,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
zstrss_a_agricultural_inspector_photorealistic_2a12f3c6-db05-469d-b204-773a6818d132,2,,,,a agricultural inspector photorealistic,1,no face,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
zstrss_a_agricultural_inspector_photorealistic_2a12f3c6-db05-469d-b204-773a6818d132,3,"(196.2719632096416, 157.51585791309864, 123.94846178242943)",0.0,100.0,a agricultural inspector photorealistic,4,woman,"/imagine prompt:a agricultural inspector, photorealistic --s 625",agricultural inspector,0.0,45-2011,45140.0,agricultural inspector,2,low
alocasia_a_agricultural_technician_photorealistic_6611196f-dab1-4eef-be87-7bed7d09a568,0,"(173.34742505764797, 134.74865488086087, 109.83089930822445)",7.142857142857139,92.85714285714286,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
alocasia_a_agricultural_technician_photorealistic_6611196f-dab1-4eef-be87-7bed7d09a568,1,"(172.42252396166134, 120.24920127795527, 93.17811501597444)",11.111111111111116,88.8888888888889,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
alocasia_a_agricultural_technician_photorealistic_6611196f-dab1-4eef-be87-7bed7d09a568,2,"(195.9732026143791, 155.18496732026145, 124.8843137254902)",11.111111111111116,88.8888888888889,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
alocasia_a_agricultural_technician_photorealistic_6611196f-dab1-4eef-be87-7bed7d09a568,3,"(162.1819515774028, 119.44284666177549, 88.47718268525311)",0.0,100.0,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
